fin	IPA	status
r	r	ok
a	a	ok
l	l	ok
n	n	ok
s	s	ok
i	i	ok
t	t	ok
k	k	ok
o	ɔ	ok
ḍ	ɖ	ok
ḷ	ɽ	ok
ɺ̣	ɽ̊	ok
ṇ	ɳ	ok
ṣ	ʂ	ok
ṭ	ʈ	ok
ⱸ	e̞	ok
g	ɡ	ok
ɷ	u	ok
d	d	ok
b	b	ok
ä	æ	ok
m	m	ok
j	j	ok
f	f	ok
p	p	ok
h	h	ok
v	v	ok
‑	‑	oklart
)	)	oklart
(	(	oklart
a:	aː	ok
ɷ:	uː	ok
ŋ	ŋ	ok
u	ʉ	ok
y	y	ok
i:	iː	ok
kk	kː	ok
ö	œ	ok
tt	tː	ok
å:	ɔː	ok
´		utelämna
e:	eː	ok
-	-	oklart
ss	sː	ok
ä:	æː	ok
ⱺ	o	ok
u:	ʉː	ok
dʼ	dʲ	ok
lʼ	lʲ	ok
ɺʼ	l̥ʲ	ok
nʼ	nʲ	ok
tʼ	tʲ	ok
nn	nː	ok
ll	lː	ok
ø:	øː	ok
pp	pː	ok
ø	ø	ok
y:	yː	ok
ⱸ:	e̞ː	ok
ʃ	ʃ	ok
mm	mː	ok
ö:	œː	ok
dd	dː	ok
gg	ɡː	ok
o:	ɔː	ok
rr	rː	ok
bb	bː	ok
ⱺ:	oː	ok
e	e	ok
ⱹ	l̥	ok
ŋŋ	ŋː	ok
å	ɔ	ok
ff	fː	ok
w	w	ok
z	z	ok
vv	vː	ok
ʃʃ	ʃː	ok
		ok
ʔ	ʔ	ok
ww	wː	ok
ⱹⱹ	l̥ː	ok
x	x	ok
jj	jː	ok
ʽn	n̥	ok
ʽŋ	ŋ̊	ok
uː	ʉː	ok
(:	 <error> 	oklart
aa	aa	ok
`		utelämna
ɷː	uː	ok
,		utelämna
ę	e̞	ok
:	ː	ok
.	 <. beror på> 	beror på
åː	ɔː	ok
ɷɷ	uu	ok
iː	iː	ok
uu	ʉʉ	ok
r:	rː	felskrivet
H	h	ok
ɺ	l̥	ok
ⱸⱸ	e̞e̞	ok
ii	ii	ok
ɵ	o	ok
hh	hː	ok
T	t	ok
zz	zː	ok
F	f	ok
c	k	felskrivet
!		utelämna
ⱺː	oː	ok
äː	æː	ok
aː	aː	ok
		oklart
xx	xː	ok
R	r	ok
ʔʔ	ʔː	ok
I	i	ok
		feltaggat
–		feltaggat
?	ʔ	felskrivet
.:	ː	ok
E	e	ok
J	j	ok
O	ɔ	ok
d:	d	feltaggat
A	a	ok
G	ɡ	ok
t:	t	felskrivet
P	p	ok
̣̣	(ɽ)	ok
øː	øː	ok
ⱸː	e̞ː	ok
eː	eː	ok
oː	ɔː	ok
dj	dʒ	ok Tiina
ddj	dːʒ	ok Tiina
dz	dz	ok Tiina
ddz	dːz	ok Tiina
tj	tɕ	ok Tiina
ttj	tːɕ	ok Tiina
ts	ts	ok Tiina
tts	tːs	ok Tiina
lʼlʼ	lʲː	ok
ḷḷ	ɽː	ok
nʼnʼ	nʲː	ok
ṭṭ	ʈː	ok
ṇṇ	ɳː	ok
ḍḍ	ɖː	ok
dʼdʼ	dʲː	ok
tʼtʼ	tʲː	ok
ṣṣ	ʂː	ok
ⱹ̣	ɽ̊	ok
ⱹ̣ⱹ̣	ɽ̊ː	ok
ⱹʼ	l̥ʲ	ok
ⱹʼⱹʼ	l̥ʲː	ok
(:	(:	ok
ṛ	r	ok
(̣	(	ok
ọ	o	ok
‑̣	-	ok
ø̣	ø	ok
ḅ	b	ok
f̣	f	ok
ʃ̣	ʃ	ok
´̣		utelämna
  ̣		utelämna